year,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
1998,0.1708459135833834,0.16932348454334992,0.12373307020787083,0.10826516877767116
1999,0.09101628498509963,0.08829488317349382,0.0718220151833723,0.09150139815060096
2000,0.0907422024420195,0.08969867871089675,0.07155867196420948,0.06745475542937014
2001,0.11313393732061763,0.11461993337713153,0.12503210280587063,0.1213258472527866
2002,0.1069986827715941,0.10717315436845434,0.0783321602027297,0.09062232973321396
2003,0.10258442145471434,0.1042722481318573,0.0818765674050487,0.07119972860890993
2004,0.0713358113301082,0.0709895367758436,0.062149513004467444,0.058123059063878255
2005,0.08717562609702054,0.08826578614046153,0.07657380485666423,0.09103651838488389
2006,0.0935351909889105,0.09770970338251553,0.09814042904794512,0.10097151166069598
2007,0.09332029642478853,0.08672349482319125,0.10066674843092019,0.10485845749188408
2008,0.09216268681881667,0.09885404498505997,0.1260093208210303,0.10204231838171941
2009,0.16847815925466433,0.1744074088802826,0.14371088076059052,0.14704986131962733
2010,0.06845646947840224,0.06987355245380322,0.05831572022528,0.0672868816920293
2011,0.10549826651297668,0.0849133836446168,0.08423804868462349,0.10447778677458816
2012,0.11016658478928647,0.11281643656597916,0.08214755907417519,0.09934673428118238
2013,0.13887577373636895,0.13729962306473853,0.13204070601129592,0.17091203902333751
2014,0.13381000163114184,0.13299682016358125,0.09153730257755427,0.11297219653672766
