year,xgb_ap_score
1989,0.058102675936616846
1990,0.05138864962632811
1991,0.07187474250995682
1992,0.10329860647196978
1993,0.06793442228038557
1994,0.09503965569358352
1995,0.07855027783077213
1996,0.11231984952851412
1997,0.14149679904236612
1998,0.1375604913306034
1999,0.09707916266293745
2000,0.09484895937375126
2001,0.11742805330229311
2002,0.1130634981237454
2003,0.13682990333906675
2004,0.0630044360229244
2005,0.09759189512404244
2006,0.10214855274640453
2007,0.09389674017326081
2008,0.12972059692098126
2009,0.1391843004980012
2010,0.07662055445855287
2011,0.10785989082723366
2012,0.11598982981355913
2013,0.16073749120387748
2014,0.10270998345642944
