year,rf_ap_score
1993,0.054435737583832834
1994,0.13801037565740826
1995,0.08464397432009609
1996,0.08850098975846729
1997,0.1262566506922142
1998,0.09134702457538503
1999,0.07630083472070126
2000,0.08642801136158182
2001,0.11840402539402846
2002,0.09344680417853395
2003,0.1286493410891963
2004,0.06926592659971954
2005,0.09292958291795057
2006,0.0883152394917691
2007,0.10620157026669244
2008,0.11549432017194146
2009,0.12712908540512985
2010,0.06823040785033763
2011,0.09993801058996221
2012,0.08573243611564141
2013,0.16476666354512848
2014,0.0961069982927423
