year,original_ap_score,logit_ap_score
1993,0.07916109595423887,0.07510193803668924
1994,0.11652032382304343,0.11095595724140808
1995,0.10540111195432644,0.09917566121782237
1996,0.11477010239198508,0.10385917694571124
1997,0.12278871949558345,0.11576899737783128
1998,0.17710872888893714,0.17436043395834627
1999,0.08970303350451883,0.09107337357600448
2000,0.09131555258992147,0.08941280622080217
2001,0.11765799775169739,0.11712434800884504
2002,0.11001214787203947,0.10808716331167599
2003,0.10399609863150841,0.10490249616921361
2004,0.07241302182449312,0.07190129943479963
2005,0.08774809856998414,0.08832675170631099
2006,0.09440503451122503,0.09739248191089675
2007,0.09401319316451294,0.08975892066820956
2008,0.0921834163966809,0.09790281817563525
2009,0.16591165049446074,0.17221834331369387
2010,0.06835807671878613,0.07001854786102388
2011,0.10507759433741172,0.10734859953074057
2012,0.11071322498266413,0.11213095510849472
2013,0.14081730571471618,0.14512940147045142
2014,0.13534039627737635,0.13053178402094073
