year,original_ap_score,logit_ap_score
1989,0.050808392425936044,0.051651927128088915
1990,0.061047440967321155,0.05644122224764626
1991,0.07599109486184497,0.07710551672045783
1992,0.13287401396194753,0.1362482373572904
1993,0.086013468398217,0.08122668118131841
1994,0.1250384909310151,0.11906759070903808
1995,0.09830544932664839,0.09702293914676197
1996,0.12558048338129602,0.10243502756048506
1997,0.11079341761010136,0.11589917790648513
1998,0.17501486073704944,0.1825032207226029
1999,0.0888113705374051,0.0895385994343442
2000,0.09122009195279367,0.08917639768775816
2001,0.11613944796348204,0.11606383426669276
2002,0.10742410271498419,0.10699922168798916
2003,0.10243732459432717,0.10297615877950433
2004,0.07222198970437341,0.07184454057393765
2005,0.08717974638928214,0.08884419077590673
2006,0.0940274001552539,0.09727836733526116
2007,0.09453081412991213,0.09120303536736596
2008,0.09595784185684728,0.09804068617271447
2009,0.16812300282170684,0.16789780124522075
2010,0.06928984799217695,0.06985840122622246
2011,0.106671441756528,0.10785430753010648
2012,0.1132836707065171,0.11219226405492733
2013,0.13955768332878227,0.13913151567420315
2014,0.13779589548293716,0.13366174879028495
