state,xgb_ap_score
Alabama,0.2023964135076016
Arizona,0.2889585087232958
Arkansas,0.3394923554873323
California,0.2911058394424684
Colorado,0.2469263030624416
Connecticut,0.2493421212920895
Delaware,0.1955976493766753
Florida,0.327259718722015
Georgia,0.2441630538999581
Idaho,0.2626182089181273
Illinois,0.4125485984658374
Indiana,0.2525805488996109
Iowa,0.2984274198986546
Kansas,0.2271581879513909
Kentucky,0.3143763137275635
Louisiana,0.3227912842577488
Maine,0.1886808736584806
Maryland,0.2708556289966861
Massachusetts,0.229655436563157
Michigan,0.3429105238528735
Minnesota,0.3540520421233708
Mississippi,0.3170731201976719
Missouri,0.3404843571323097
Montana,0.2466283359147131
Nevada,0.4271939790311255
New Hampshire,0.2756309770917761
New Jersey,0.3820235580478688
New Mexico,0.181032815630957
New York,0.1861428333677644
North Carolina,0.3286317299432721
North Dakota,0.2201707620450609
Ohio,0.2783908606770917
Oklahoma,0.2180454087769211
Oregon,0.2951969269784344
Pennsylvania,0.3208123471099625
Rhode Island,0.2355737104938838
South Carolina,0.2339085363132654
South Dakota,0.3457388448121998
Tennessee,0.3611493735294807
Texas,0.3320671440653554
Utah,0.3147859890982659
Vermont,0.3003472353633395
Virginia,0.2905709722563669
Washington,0.3482165026173257
West Virginia,0.249866287594019
Wisconsin,0.2113142854642145
Wyoming,0.2326335354365728
