state,rf_ap_score
Alabama,0.16620873127193714
Arizona,0.2546990109454658
Arkansas,0.38193392377372587
California,0.36829558553202196
Colorado,0.2592085393531024
Connecticut,0.3445755702377195
Delaware,0.214858636494196
Florida,0.35488195248385584
Georgia,0.30342614888868996
Idaho,0.25404707794258763
Illinois,0.41996073959702745
Indiana,0.2753619343016438
Iowa,0.33738943999175675
Kansas,0.3061188181602292
Kentucky,0.3321053642387479
Louisiana,0.34847033437557856
Maine,0.23962205374273568
Maryland,0.35300657507133565
Massachusetts,0.2763888439045912
Michigan,0.3501526829504955
Minnesota,0.3378457170523093
Mississippi,0.31672823439606046
Missouri,0.33221448548519966
Montana,0.23023307422739267
Nevada,0.39568225498568904
New Hampshire,0.27526466629792246
New Jersey,0.41060654339725855
New Mexico,0.19535520832607334
New York,0.19367211303276158
North Carolina,0.34338991114771056
North Dakota,0.18226084844172644
Ohio,0.28351602810516113
Oklahoma,0.30278599346497437
Oregon,0.2915190149972044
Pennsylvania,0.3255940148388074
Rhode Island,0.225948247439246
South Carolina,0.3067059280465387
South Dakota,0.295582188428341
Tennessee,0.32829370070426633
Texas,0.3732624326966736
Utah,0.3119185201764985
Vermont,0.365813410707571
Virginia,0.27242343204374897
Washington,0.3317121596236736
West Virginia,0.24230867612185095
Wisconsin,0.24322693068793746
Wyoming,0.1907801169365265
