year,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
1991,0.13947783732825628,0.13703239152861882,0.14679160590838317,0.1086880304216766
1992,0.12202565456793744,0.11646964746430004,0.14098486272826252,0.16136522570226886
1993,0.2601533697839622,0.31295077228077955,0.464354629860394,0.3022780258626707
1994,0.18572459650570594,0.19168798521137465,0.20922328237417928,0.19074216748320327
1995,0.25787180818582006,0.2494506721490729,0.23526752697817677,0.19004334812315773
1996,0.2458019563688903,0.2543658407682066,0.19954057707159079,0.2158547995640565
1997,0.43556363033913714,0.43783234591170667,0.2849246359660288,0.34364867364415347
1998,0.23931684029764713,0.23962856021622336,0.22589283330206916,0.2219166666287482
1999,0.3850602853015481,0.35719144141789466,0.3458766842089624,0.4319310408683029
2000,0.2875933463824459,0.32046426938388567,0.32683632107066973,0.3218573142672393
2001,0.29955807504245746,0.31746201284988534,0.2833954392951502,0.29111462511934394
2002,0.3652818706996611,0.36956168946921536,0.44686682402875305,0.3826521288889561
2003,0.42430560748569296,0.4121180908706513,0.3010167596786933,0.308806615903214
2004,0.27501692486457296,0.34101012334073055,0.26002745086296863,0.20595074914037007
2005,0.21275473254016602,0.16087706843689395,0.1781547560414113,0.22950990665516116
2006,0.38446469088617,0.37453562399701473,0.3650281062203253,0.41111481185822507
2007,0.45384660988540837,0.4726138370812211,0.3628357360509376,0.5901108700769142
2008,0.20642696234200006,0.1886835743709624,0.17044100628082828,0.18471494151382337
