state,original_ap_score,logit_ap_score
Alabama,-0.0,0.0
Alaska,-0.0,0.0
Arizona,-0.0,0.0
Arkansas,-0.0,0.0
California,0.14035818474782716,0.11675072552164238
Colorado,0.015311717686970983,0.013769794168498667
Connecticut,0.43884124764813953,0.4380927165541386
Delaware,0.0817670284106518,0.07909595643395927
Florida,-0.0,0.0
Georgia,-0.0,0.0
Hawaii,0.278107168375659,0.2760813326995271
Idaho,-0.0,0.0
Illinois,0.12107341583160436,0.17693073165186682
Indiana,0.06121670449570935,0.07428387637593209
Kansas,0.43744164332399627,0.42536213028016306
Kentucky,-0.0,0.0
Louisiana,-0.0,0.0
Maine,0.2667670987562202,0.2632493129237672
Maryland,0.06599511604780672,0.06554771187493162
Massachusetts,0.03666777355719521,0.05321489557546117
Michigan,0.3700716949112248,0.36007674351923313
Minnesota,0.015910071997782778,0.030473962807765053
Mississippi,-0.0,0.0
Missouri,0.3641953399717375,0.35317545768901165
Montana,0.3761948972126771,0.37145907060278854
Nevada,0.014893549957146177,0.02855713136511084
Nebraska,-0.0,0.0
New Hampshire,0.1629291827190309,0.13137161631820446
New Jersey,0.2836977273338866,0.27777339417155184
New Mexico,0.012195121951219513,0.008215150466966447
New York,-0.0,0.0
North Carolina,0.06087622481969167,0.062189963546192335
North Dakota,0.22387849667669363,0.21982059176566895
Ohio,0.3433952615556035,0.3094738442842779
Oklahoma,0.3597781430667439,0.35088328077767433
Oregon,0.3144185116202332,0.3098080780478007
Pennsylvania,0.3320880662249997,0.324509581610422
Rhode Island,0.17582582582582582,0.17505604505604508
South Carolina,-0.0,0.0
South Dakota,0.19637500863915958,0.19464556875724384
Tennessee,-0.0,0.0
Texas,0.13805802690759883,0.16522065917325468
Utah,0.14764749253066933,0.14730021364533763
Vermont,0.10821028286781711,0.10603879324809556
Virginia,0.4263043752792835,0.4246250542190784
Washington,-0.0,0.0
West Virginia,0.05526190300527288,0.06488899621235096
Wisconsin,0.13498543348819877,0.1331706586098993
Wyoming,-0.0,0.0
Iowa,0.011764705882352941,0.012152021302348099
