billname,rf_ap_score
1,0.1996557472312637
2,0.04053733515871985
3,0.03969983364684048
4,0.08005519348453191
5,0.17972528471968538
6,0.09955890248752708
7,0.1353869162684387
9,0.08136522700167567
10,0.19837064580464345
11,0.07433344403012669
12,0.11366015161356546
13,0.06740041329815055
14,0.1001307555098709
15,0.30995744957320187
16,0.16285436256902203
17,0.02135307949456865
19,0.032917579147189895
20,0.060627997845530385
22,0.23041344456482207
23,0.1286244554252497
24,0.037679847609588604
25,0.036887790680573795
26,0.12878787878787878
27,0.03270807158469356
28,0.20616115411681912
29,0.10409372962894332
30,0.06392664077965585
31,0.20086976134842335
34,0.45076847770965417
