billname,original_ap_score,logit_ap_score
1,0.15918880842510558,0.11386031174612381
2,0.02102336642373081,0.013869148913945408
3,0.026155127755430864,0.02617703247413551
4,0.06067877491027583,0.09819106304611432
5,0.25112128515495863,0.20979530543996042
6,0.14641403667377778,0.0987264994815437
7,0.04686289343570924,0.017153251760815637
9,0.16382237759615853,0.16162778106968223
10,0.1659452825128786,0.15890087483976173
11,0.022554357447745137,0.024076186748216474
12,0.026915463671204138,0.02671269082939508
13,0.046374415480176796,0.055178401287582696
14,0.004552016613488736,0.003405905980643187
15,0.24709172145993613,0.2316930639872242
16,0.16088774828165164,0.15402746284930158
17,0.013932815255531247,0.013862409873567868
19,0.0391908380563293,0.03368228160157295
20,0.0382664948706958,0.04069020372009192
22,0.10891177557229618,0.11088606477935475
23,0.06457073381481684,0.06827389689081059
24,0.0270848020167754,0.027065818419563004
25,0.06337299863037515,0.06294016440168461
26,0.04365079365079365,0.040625
27,0.0346753912239567,0.03461163112857417
28,0.17744338435053747,0.1661612116720476
29,0.18758103103601032,0.136563740995476
30,0.005864504316126075,0.003919145654803462
31,0.13409205682253056,0.14615281249003642
34,0.27218694214728034,0.2616853338456788
