billname,xgb_ap_score
1,0.09816954436519938
2,0.04230052210636385
3,0.03878811556253163
4,0.07732717190098579
5,0.2904601288730545
6,0.061608560384867284
7,0.06907881075283936
9,0.08458359430994594
10,0.2146156157349202
11,0.2522530188380942
12,0.1719956183292041
13,0.1363861620486594
14,0.04367113435763322
15,0.2896741947740318
16,0.23096139515544079
17,0.03430778136498863
19,0.028729002253633184
20,0.09124480929001526
22,0.2282215165523532
23,0.1885999095943144
24,0.02989606826779152
25,0.1032986635318255
26,0.20833333333333334
27,0.050056561363817205
28,0.25292723149866003
29,0.07393024643366462
30,0.053127053669222345
31,0.250375868059167
34,0.5728277278277278
