Article,original_ap_score_logit,logit_ap_score_logit,xgb_ap_score_xgb,rf_ap_score_rf
boehmke_policy_results,0.15110791326803288,0.14974256867088606,0.1653566841592122,
boushey_policy_results,0.2170826357832858,0.2181489606246635,,0.24505442007528658
bricker_policy_results,0.1350041335532902,0.13250449179981935,,
karch_policy_results,0.07757243439067092,0.0589335989306981,,
kreitzer_policy_results,0.09518662888297526,0.08760395503198991,,0.12477626107313287
mallinson_policy_results,0.10287363428615576,0.10268677157835099,,
parinandi_policy_results,0.1906779661016949,0.1906779661016949,,
