year,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
2010,0.02857142857142857,0.02631578947368421,0.037037037037037035,0.03125
2011,0.06666666666666667,0.1111111111111111,0.3333333333333333,0.07142857142857142
2012,0.027777777777777776,0.023255813953488372,0.07692307692307693,0.5
2013,0.09511784511784512,0.0633255003646382,0.06483142037302726,0.10992063492063492
2014,0.09894179894179894,0.07181437389770723,0.07797619047619048,0.24707602339181287
2015,0.25744047619047616,0.21838205367617136,0.10568891892421303,0.1302796302796303
2016,0.19624505928853755,0.27367424242424243,0.1536643026004728,0.13694638694638694
2017,0.1372164270072599,0.18652849360527435,0.24963303604607953,0.15042668683973032
