state,xgb_ap_score
Alabama,0.3645659091153281
Alaska,0.069385959731066
Arizona,0.1876360025457343
Arkansas,0.1172873909705407
California,0.039145925614278
Colorado,0.2568988200297712
Connecticut,0.1128942743194103
Delaware,0.2649583915098878
Florida,0.2126676384299456
Georgia,0.362583541210251
Hawaii,0.0685971784801782
Idaho,0.1703906190650908
Illinois,0.1544183688141679
Indiana,0.279593084886084
Iowa,0.2205096144323973
Kansas,0.0813465911623351
Kentucky,0.1694499226830018
Louisiana,0.3471527568968473
Maine,0.1327888627051679
Maryland,0.0521340121141747
Massachusetts,0.1432277879805004
Michigan,0.2056546473273868
Minnesota,0.1382055877939007
Mississippi,0.2881200698622545
Missouri,0.1435210960232894
Montana,0.3212189060248882
Nebraska,0.2816747595954176
Nevada,0.3367018367004735
New_Hampshire,0.0329142260675786
New_Jersey,0.0720582003073922
New_Mexico,0.2566549118612928
New_York,0.0700604644471584
North_Carolina,0.0757917223162416
North_Dakota,0.1540827141011733
Ohio,0.3093224320941491
Oklahoma,0.2540974688487695
Oregon,0.361336763027205
Pennsylvania,0.1064923568515162
Rhode_Island,0.050834571695066
South_Carolina,0.2586110719537942
South_Dakota,0.0840836824511067
Tennessee,0.3644034022315963
Texas,0.3141219404959504
Utah,0.1912742427227745
Vermont,0.0279413924458085
Virginia,0.1413993934574791
Washington,0.227154833338111
West_Virginia,0.2155728419114213
Wisconsin,0.165448093661738
Wyoming,0.014784905244492
