state,rf_ap_score
Alabama,0.3815960034577585
Alaska,0.18984395286827882
Arizona,0.17830806078631165
Arkansas,0.2043317282017205
California,0.11796687430342538
Colorado,0.19520650647967352
Connecticut,0.15352242924175383
Delaware,0.21948634097756925
Florida,0.29252679879486576
Georgia,0.3235775604596814
Hawaii,0.15871848092835808
Idaho,0.1751787319130409
Illinois,0.18769850343739372
Indiana,0.3423267997799073
Iowa,0.248602891284376
Kansas,0.07469970906008808
Kentucky,0.20000147881449395
Louisiana,0.35171110133337896
Maine,0.22955319781767816
Maryland,0.0741485873337785
Massachusetts,0.08536770868202248
Michigan,0.2507436880127046
Minnesota,0.1536173678775493
Mississippi,0.2557471698123723
Missouri,0.14113592168447728
Montana,0.319392432783084
Nebraska,0.3605159056460254
Nevada,0.3591272468714794
New_Hampshire,0.04315476370004381
New_Jersey,0.08501564394401877
New_Mexico,0.24822056817520696
New_York,0.064054903693736
North_Carolina,0.06313541305916026
North_Dakota,0.10840178668289013
Ohio,0.2979673512582892
Oklahoma,0.2393120154504588
Oregon,0.3679177695072568
Pennsylvania,0.11492151574213359
Rhode_Island,0.05662948249726559
South_Carolina,0.26346067325628836
South_Dakota,0.07623324296349536
Tennessee,0.3662061793138897
Texas,0.3247142807551448
Utah,0.16412953711183056
Vermont,0.024132908730449223
Virginia,0.16893952270398746
Washington,0.28493554579222424
West_Virginia,0.36506304108281934
Wisconsin,0.1336562344016872
Wyoming,0.017185232540081787
