year,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
2006,0.037037037037037035,0.02702702702702703,0.05555555555555555,0.045454545454545456
2007,0.527027027027027,0.10101010101010101,0.034559643255295425,0.07729468599033816
2008,0.027777777777777776,0.047619047619047616,0.027777777777777776,0.02564102564102564
2009,0.08301597489659107,0.16498157248157247,0.11968438538205979,0.10843728343728345
2010,0.13177910052910052,0.09871639784946236,0.16527777777777777,0.1480805958747135
2011,-0.0,-0.0,-0.0,-0.0
2012,0.203258547008547,0.21231758832565284,0.21774067717272585,0.18298160173160172
2013,0.03333333333333333,0.034482758620689655,0.05555555555555555,0.06666666666666667
2014,-0.0,-0.0,-0.0,-0.0
2015,0.5641602053569599,0.41531121865967596,0.46178660309095093,0.5658678286129266
2016,-0.0,-0.0,-0.0,-0.0
2017,0.125,0.125,0.06666666666666667,0.05
2018,-0.0,-0.0,-0.0,-0.0
2019,0.25,0.08333333333333333,0.3333333333333333,0.14285714285714285
