Article,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
berry_state_results,0.1457411811566552,0.1195144474103725,0.1862913763529951,0.1724792226067581
boehmke_state_results,0.1649925317086669,0.16492754162048268,0.1856303410054349,0.1790173057757438
boushey_state_results,0.2666991558585751,0.2675466331928339,0.29883735776737375,0.2837346268046085
bricker_state_results,0.16374533231244956,0.16526922361016258,0.19942161492051005,0.1913016549534343
karch_state_results,0.13012903244119947,0.1251956665159268,0.15280048470032698,0.16302091951293446
kreitzer_state_results,0.13861442766756715,0.13590373299947006,0.2020408158201121,0.18542342375111165
lacombe_state_results,0.11442212899540062,0.11441236075189337,0.1364251900534512,0.132675013672235
mallinson_state_results,0.09646764107361737,0.0963233950670095,0.15951125536232863,0.15028800655870336
mallinson_lovell_state_results,0.0797219249934611,0.0709238051344035,0.1007613901570545,0.1406877704355713
parinandi_state_results,0.13145004886653258,0.13086530122512416,0.12122797993935404,0.12246843904635275
