Article,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
boehmke_state_results,0.1649925317086669,0.1649501146889454,0.18449026834025764,0.17870641241649213
boushey_state_results,0.2666991558585751,0.2675466331928339,0.29896905334273316,
bricker_state_results,0.16374533231244956,0.16521084901605104,,0.19135244553776087
karch_state_results,0.13012903244119947,0.12491545455873988,,
kreitzer_state_results,0.13861442766756715,0.13609126539211946,0.20318591172642758,
mallinson_state_results,0.09646764107361737,0.09634271251113223,,
parinandi_state_results,0.13145004886653258,0.13070836819035184,0.12074588331202606,0.1150311856243082
