billname,rf_ap_score
7.0,0.07330090553674165
28.0,0.012045441057603253
29.0,0.003337931278405574
25.0,0.03773224217251094
8.0,0.16309684594491775
16.0,0.0922006404429847
24.0,0.03368144042737264
15.0,0.07909226399639113
43.0,0.017241379310344827
9.0,0.043294719398434316
4.0,0.044559278624802266
13.0,0.06587899281856915
19.0,0.052090057547898784
22.0,0.04047105835347797
14.0,0.1410273932700154
21.0,0.04281073798317164
23.0,0.16518981699825416
10.0,0.008931649544963841
26.0,0.027840344188986076
32.0,0.03349605137418452
31.0,0.05877955136457073
20.0,0.06723591878454703
2.0,0.007277037952842927
3.0,0.04483613086751794
30.0,0.029769665362885705
39.0,0.20000000000000004
40.0,0.07692307692307693
5.0,0.0733037937687627
41.0,0.043478260869565216
1.0,0.004054054054054054
42.0,0.0013157894736842105
12.0,0.013987646951121794
18.0,0.007056940537394511
27.0,0.19198451162552607
17.0,0.06344871830376614
11.0,0.06793037090041669
6.0,0.28202304321009464
38.0,0.0
