billname,original_ap_score,logit_ap_score
7.0,0.07069582297207992,0.05970153818731047
28.0,0.0296207744004092,0.025541367915562403
29.0,0.009498612074947952,0.005457440648523451
25.0,0.022038812459991765,0.018716377438210478
8.0,0.1476873568952869,0.14607482967040608
16.0,0.10252252395174435,0.10481567381971109
24.0,0.028413240741975952,0.027650458190059346
15.0,0.0865270060740699,0.06395131864992044
43.0,0.0625,0.06666666666666667
9.0,0.05302125143747087,0.05948353444806115
4.0,0.07572537682266318,0.06199695511230933
13.0,0.07845468800222084,0.034422132907667366
19.0,0.05141829007001227,0.05082997598001016
22.0,0.07909088508108246,0.011469166300618672
14.0,0.0993386928099472,0.1077897373541054
21.0,0.07079211891981882,0.06469744413826312
23.0,0.1015364955390475,0.04816808252833397
10.0,0.024206635215199297,0.023701809854064865
26.0,0.009412394713950245,0.007485587421749732
32.0,0.026710032190105083,0.017128703610284478
31.0,0.032109136886214806,0.0101058340050202
20.0,0.2664000340025252,0.1273332663790646
2.0,0.05294685647041848,0.01099556929576751
3.0,0.03521134495780228,0.03240170384814442
30.0,0.13530927835051546,0.007322243966079581
39.0,0.0625,0.012345679012345678
40.0,0.003134796238244514,0.004201680672268907
5.0,0.16870491369114576,0.12651430408646414
41.0,0.002331002331002331,0.0017211703958691911
1.0,0.0057108785028486386,0.003567160028892858
42.0,0.006666666666666667,0.0070921985815602835
12.0,0.04133557852087061,0.02085064244280276
18.0,0.009453781512605041,0.005222822233131512
27.0,0.2661000805832193,0.2596885194903613
17.0,0.06657935992353817,0.038646221516351796
11.0,0.05211439664625984,0.04439988169697248
6.0,0.5119333911895954,0.5213190608735931
38.0,-0.0,0.0
