billname,xgb_ap_score
interstate compact on agricultural grain marketing,0.13107507960449136
restaurantbanstate,0.3493092202236068
helmetlaw_17,0.4323753931894774
audio-visual deposition,0.01991034937830374
barbanstate,0.32531332560005
helmetlaw_learn,0.49686388364397577
durable power of attorney,0.015334496404563032
fetaldispos,0.0516843665330316
minfine,0.1058129124091079
interstate high speed rail network compact,0.02945609064728853
trade secrets act,0.1123694595355645
condominium act,0.012528578658930234
keg_reg,0.03969166388478993
prisondayswag,0.005931336078693374
opencont,0.11839679755903698
helmetlaw_pass,0.5885149370989867
preconvictdays,0.1278973054212736
enterzone,0.18053865932414137
aborparn,0.028056647672986563
const_protect,0.03913655412785714
econdev,0.061981555993488445
determination of death act,0.04369924342550314
pubfacilities,0.013912222163288834
revenue,0.040586190532560684
childrest,0.6853179393882517
aborparc,0.01865069925975991
abortion_medicai,0.05618150348726406
regulation_hate_crime,0.12789644634054032
solaw,0.14695571136526644
funds_avail,0.07390048384437992
conservation easement act,0.017113241733426945
lemon,0.42821660630544595
mprisdm,0.152710251214569
real estate cooperative,0.039865288220551374
victimrights,0.09868218178776961
r_d_tax_credit,0.07919166100432193
bootcamp,0.09309137745349479
w_gayrights_employment_discrimi,0.10422168646935094
vicrtsamd,0.0948232681703829
comsrv12,0.16006611273040203
"exemptions act, model",0.04905646469113961
dui,0.13591594956341987
conflicts of laws - limitations act,0.05019212347367812
transboundary pollution reciprocal access act,0.03274963221703056
netmeter,0.17802062831449272
dui08,0.10166114167902877
notarial acts (1982),0.029816088976147796
w_abortion_parental_notice_1983,0.0424273548824823
eminentscholar,0.0438586048024853
common interest ownership act (1982),0.03298098417373003
zerotol,0.4118301465961413
renewenergy,0.2094289629027867
regreq,0.0359258069824116
model real estate time-share act,0.012825869150739756
dwi reform,0.10877177856882293
zerotoleranceapis,0.3436461314681576
drugs_boehmke_zeroto,0.12557884495385588
primseat,0.04842622208744443
damagereduce,0.061525363789062835
marital property act,0.03609567901234568
interstate compact on adoption and medical assistance,0.04055864903815328
compact on adoption and medical assistance,0.092938459257477
viatesting,0.018270176103813873
transfers to minors act,0.19411569251533564
zerotolerancelaw,0.2941258915635076
primaryenforce_all,0.11890824792541325
interstate mutual aid compact,0.02836927836927837
health,0.06558197916880744
cent,0.019639781057401787
rights of the terminally ill act (1985),0.04969118067926029
fraudulent transfer act (1984),0.22617593655167298
regulation_mandatory_seatbelt,0.4222069766355881
governance_reform,0.034706706688437526
allpass_seatbelt,0.03540951884132
fundslifehea,0.08720255837823208
insanity defense and post-trial disposition,1.0
eminent domain code,0.024252847423579128
frontpass_seatbelt,0.14820857043396152
"extradition and rendition act, model",1.0
simultaneous death act (1940),0.02381852722181707
premarital agreement act,0.05130841341224359
primaryenforce_minor,0.010454629588149425
apology,0.06447131283658962
periodic payment of judgments act,0.125
prepaid,0.11067752963906274
prepaytut,0.08479948774575417
"ucc article 8, investment securities",0.09143142134196751
health-care information act,0.06682417930517306
drugtest,0.09530897411059837
syringe,0.03522381324001906
infertility,0.12388982094370717
schoolchoi,0.08046806750226568
tu_decent,0.06853035957696572
"dormant mineral interests act, model",0.16296296296296295
comsrvdy,0.018933785343087206
guardianship and protective proceedings act (1997),0.006862066097116464
statutory rule against perpetuities,0.1331583089858738
securities act (1988),0.07209634760042666
mendeapen,0.024501695538077805
"ucc article 2a, leases (1987) (1990)",0.3775634565329738
earned_income_taxcredi,0.06792784896315508
savingplan,0.2231046429644131
dev_s10,0.029825394736568884
universal health care,0.07067052680376228
dev_s1,0.04419628601583749
anatomical gift act (1987),0.059139707016404995
information practices code,0.2611111111111111
collegesavings,0.24396409967815458
interstate earthquake emergency compact,0.1098327088595036
custodial trust act,0.028318217162357686
multistate lottery agreement,0.0355717574137383
pain management,0.1458619781750052
advertban,0.035899098166484227
bradycamp,0.11343273622156981
dev_s7,0.03434823269697094
bikehelmet,0.22002226958840243
ccb,0.09864341971302508
compact for pension portability for educators,0.033629007158418926
w_gayrights_public_accomodation,0.056060181944155796
wildlife violator compact,0.04720896162472648
foreign money claims act,0.06286847511287917
status of children of assisted conception act,0.26111111111111107
hmomod2,0.10221102028821248
guncontrol_assaultweapon_ba,0.04295364872601362
gayhate,0.2080814734634228
"ucc article 4a, funds transfers (1989)",0.5308778378180806
ucc article 6 (repeal),0.1626984126984127
personaltaxeff_yearadopted,0.04472177312425116
personaltax_yearadopted,0.0500839024729075
antistalk,0.6293158180786234
corporaterenew_yearadopted,0.02182444617768407
pubemployees,0.013932571572736037
indgaming,0.25642500478936214
nonprobate transfers on death act,0.18013916264967136
hiport,0.5465410024043124
higrenew,0.5688777887466073
stalking,0.421492948029826
termlim,0.15753374311737114
netmeter_yearadopted,0.23913614360525834
corporateeff_yearadopted,0.07165272101423158
tod security registration act,0.2408146808315115
"ucc article 6, bulk sales (1989)",0.24026979612883057
meganslaw,0.3732469382323474
ucc article 6 (revise),0.05463904258917374
higissue,0.3962508267901235
infanthear,0.09325419512446192
hiprecon,0.5030588021698871
