billname,original_ap_score,logit_ap_score
renewenergy,0.17818395440607307,0.18167433390026222
regreq,0.020586631391056973,0.018765522224164093
model real estate time-share act,0.011659909466344716,0.011691473130254823
dwi reform,0.1077415841520127,0.10096506591266106
zerotoleranceapis,0.2746234568349245,0.2800728720112871
drugs_boehmke_zeroto,0.06369686226112062,0.06395543665305575
primseat,0.03760788865430441,0.037615474620799665
damagereduce,0.05324180247180024,0.05284695451055974
marital property act,0.3333333333333333,0.3333333333333333
interstate compact on adoption and medical assistance,0.03723305088691563,0.03619235771053004
compact on adoption and medical assistance,0.07439450608304995,0.07441134909271063
viatesting,0.00961410484497778,0.009620633375376846
transfers to minors act,0.1313354137711915,0.13157044124136152
zerotolerancelaw,0.27302393524618007,0.26206238771020113
primaryenforce_all,0.05592852671343203,0.056329726647326155
interstate mutual aid compact,0.045454545454545456,0.05000000000000001
health,0.07929714695026492,0.0795554147174258
cent,0.023955466060777364,0.024272098232739497
rights of the terminally ill act (1985),0.061169907137667366,0.06079649092312831
fraudulent transfer act (1984),0.12740884754609544,0.12419772806237817
regulation_mandatory_seatbelt,0.23324367891795317,0.23446837304080914
governance_reform,0.030242373814950235,0.02950840356989932
allpass_seatbelt,0.04041550830065341,0.039973848042491905
fundslifehea,0.0849055970112402,0.08513004053502378
insanity defense and post-trial disposition,0.02702702702702703,0.02702702702702703
eminent domain code,0.03333333333333333,0.032638888888888884
frontpass_seatbelt,0.10406784740627893,0.10417040595755196
"extradition and rendition act, model",0.02702702702702703,0.02702702702702703
simultaneous death act (1940),0.058823529411764705,0.10588235294117648
premarital agreement act,0.03574642971882416,0.035640081128137636
primaryenforce_minor,0.027756583942168254,0.028705410812349504
apology,0.08450176244853774,0.07940010364390158
periodic payment of judgments act,0.14285714285714285,0.14285714285714285
prepaid,0.06702390366327717,0.06756198665269936
prepaytut,0.0428007203834922,0.04365060769178539
"ucc article 8, investment securities",0.13776917876509306,0.13940593925646882
health-care information act,0.04117876658860265,0.04385725676048257
drugtest,0.06764045204354246,0.0673463891634702
syringe,0.03826983303352464,0.03826549220817369
infertility,0.10955454066687023,0.16304012717125707
schoolchoi,0.07209034961173257,0.0720401205868471
tu_decent,0.0500708807232828,0.05007090248920568
"dormant mineral interests act, model",0.05625,0.052389841746011044
comsrvdy,0.013171377233877233,0.013171377233877233
guardianship and protective proceedings act (1997),0.010450936292423323,0.0099070852142294
statutory rule against perpetuities,0.08681366367661607,0.08248274215972619
securities act (1988),0.04284425384326959,0.04282374859392576
mendeapen,0.027064588865013395,0.026818060398736604
"ucc article 2a, leases (1987) (1990)",0.2265527884862097,0.22623060706217055
earned_income_taxcredi,0.04281119586963773,0.042284957373888814
savingplan,0.14182239378086398,0.14149416196496364
dev_s10,0.01929877385343059,0.019297916205826337
universal health care,0.047507245297610176,0.04761022925745897
dev_s1,0.017856017149634924,0.017901027561768982
anatomical gift act (1987),0.08042061389152724,0.08280710347178945
information practices code,0.025,0.025000000000000005
collegesavings,0.2234008351105754,0.2253734330002276
interstate earthquake emergency compact,0.11792207792207793,0.1345069745069745
custodial trust act,0.01761243535687413,0.01772527089536097
multistate lottery agreement,0.03880921933733425,0.03839552176516809
pain management,0.22575828675847975,0.2260995128843222
advertban,0.028222294311364866,0.02740602471145406
bradycamp,0.12843940132223536,0.1286443732778794
dev_s7,0.027408437023083033,0.031193465913179386
bikehelmet,0.13519483441386176,0.13522279348297914
ccb,0.03281226435019935,0.03198349644386082
compact for pension portability for educators,0.021527777777777778,0.022659346494471943
w_gayrights_public_accomodation,0.03420258594448538,0.03419498119379762
wildlife violator compact,0.05619258602661209,0.056125516945458497
foreign money claims act,0.035371159487067996,0.03456374822924276
status of children of assisted conception act,0.05263157894736842,0.04699248120300751
hmomod2,0.08728409761882563,0.08672541844198879
guncontrol_assaultweapon_ba,0.045440879960734544,0.042317359221815155
gayhate,0.14342460011988212,0.1442831701119527
"ucc article 4a, funds transfers (1989)",0.40067562915102867,0.39934428466909777
ucc article 6 (repeal),0.03571428571428571,0.040123456790123455
