billname,rf_ap_score
infertility,0.0408810488772037
schoolchoi,0.0640814478872045
tu_decent,0.0717239367572988
"dormant mineral interests act, model",0.3242521367521367
comsrvdy,0.0509873779958722
guardianship and protective proceedings act (1997),0.0282174264223394
statutory rule against perpetuities,0.0919658668134224
securities act (1988),0.244697303611933
mendeapen,0.0273678971732057
race_fair_employmen,0.4987073719172037
"ucc article 2a, leases (1987) (1990)",0.4709368759107633
earned_income_taxcredi,0.0538648578581745
savingplan,0.2556642314789764
dev_s10,0.0385181256841572
universal health care,0.0732530491895662
dev_s1,0.0797274739220465
anatomical gift act (1987),0.0494105316286367
information practices code,0.1785714285714285
collegesavings,0.2232197672378751
interstate earthquake emergency compact,0.0558248012038825
labor_state_ada_antidiscri,0.0984541624586646
custodial trust act,0.0334485639676373
multistate lottery agreement,0.0444439363741144
pain management,0.1443999105748049
advertban,0.0737212674000978
bradycamp,0.0763189820270635
dev_s7,0.0204828707276017
bikehelmet,0.4267493339516126
ccb,0.0314591974658385
compact for pension portability for educators,0.0374941643323996
w_gayrights_public_accomodation,0.061158473499294
compact on placement of children,0.1097935552598798
shoplift,0.228369969189656
wildlife violator compact,0.0332869940510507
foreign money claims act,0.0671223168370611
status of children of assisted conception act,0.1164021164021164
hmomod2,0.0822017392334746
guncontrol_assaultweapon_ba,0.0376344056268248
gayhate,0.110456962160725
"ucc article 4a, funds transfers (1989)",0.6417179408325221
ucc article 6 (repeal),0.1976190476190476
personaltaxeff_yearadopted,0.1207957622860326
personaltax_yearadopted,0.1856052201806463
bus taxation proration and reciprocity agreement,0.0223234723154298
antistalk,0.7466758822377858
corporaterenew_yearadopted,0.2181965855202456
pubemployees,0.0058336224707291
indgaming,0.2818815254607732
nonprobate transfers on death act,0.0563389051755495
hiport,0.9107880430713357
higrenew,0.7253753081810298
stalking,0.5723414575405141
termlim,0.1095634500977329
netmeter_yearadopted,0.2595485698381881
gender_disc_laws_post196,0.2837842431782676
corporateeff_yearadopted,0.1147136884164274
tod security registration act,0.1939850734851282
"ucc article 6, bulk sales (1989)",0.2964578341461573
meganslaw,0.352945417384068
ucc article 6 (revise),0.0597788008750756
higissue,0.6778335916813942
infanthear,0.0936953669463316
hiprecon,0.9256812242416568
interstate compact on industrialized/modular buildings,0.0206810767155594
broadcom,0.1883137031953041
labor_collective_bargaining_sta,0.2089963808862708
interstate forest fire suppression compact,0.237037037037037
statutory will act (1984),0.1507936507936507
chartersch,0.1486891434889738
colcanscr,0.056163482988822
neartotalban,0.0355218855218855
sexreginfo,0.1301933584488477
statutory form power of attorney act,0.0290199019240258
prudent investor act,0.1025777041213857
gagrule,0.050522183029859
"ucc article 3, negotiable instruments (1990)",0.3278211139514028
medicaid_stateadoptio,0.4838687087791316
"intestacy, wills, and donative transfers act",0.0338964959802113
bldstds_yearadopted,0.1418577919772305
supp_research,0.0279012726064998
corporlimits,0.9869825826730448
regulation_bicycle_helmet,0.422267043315819
filmtaxcredit,0.1065648986222009
famcap,0.2434959446998564
simultaneous death act,0.0491854330351058
unionlimits,0.998563962162482
candlim,0.1171139750048498
interstate mining compact,0.008866123111983
famlim,0.9146539213532447
abortion_consent_1992_201,0.0691322821942885
indlimit,0.939659633083254
offwmh,0.0354213792611556
unincorporated nonprofit association act (1992)(1996),0.0562058329310819
timelim,0.2620348482673968
msas,0.3110149765420286
pubaccess,0.5737447529496293
gilaw,0.8415324295931308
regulation_rfr,0.0222696431561876
aborpreroe,0.4700264058156693
pubbrefeed,0.8133344867939957
meritaid,0.6460563694836395
breastfeed,0.7885261014700061
interstate family support act (1992)(1996),0.3951978252420405
threestrikes,0.1856782054227675
partnership act (1997) (last amended 2013),0.1468862153980444
meritstateadmin,0.6855508889492904
multiple-person accounts,0.0413333736213654
writreq,0.2008392103274763
gay_employment_discrim_genderi,0.6610285020138532
w_guncontrl_bc_dealer_rifl,0.0079166527240998
manaccess,0.543301085861983
w_gayright_publi_accom_genderi,0.5229376205670877
idas,0.1944255179296185
national guard mutual assistance counter-drug activities compact,0.137535920601305
gaymarban,0.080134041277084
indorgris,0.0881845292659131
standground,0.0356784449942834
manclin,0.0898197882258329
sdce,0.0813121988778389
universalprek,0.0266812771201124
genderrights_nofault_divorc,0.1806089028093371
ide,0.2845679452443981
paperterror,0.2406518792684803
health-care decisions act,0.0177905348863477
correction or clarification of defamation,0.186613350521955
drugs_smoking_ban_restaurant,0.5399801435295233
neighnot,0.467009129055461
w_animal_cruelty_felon,0.060714778015471
mandnot,0.1778457339063025
medianot,0.1368686868686868
"victims of crime act, model",0.0673400673400673
abortion_reform_prero,0.5251686478513845
common interest ownership act (1994),0.0265912177789572
interstate insurance receivership compact,0.0325283106979801
"ucc article 8, investment securities (1994)",0.63003133761654
unclaimed property act,0.1250784624801844
anyactnot,0.7816708761891485
emergency management assistance compact,0.2386342167047527
discrenot,0.2257837535844303
smokeban,0.4887769308082126
environment_publicbenefit_fund,0.5414516854848571
pubbenefits_yearadopted,0.5250291772909403
driver license compact,0.1501937852873819
uniform unclaimed property act,0.0093433708618082
idtheft,0.3052850179175074
ultrasound,0.0871995824917021
dev_s9,0.297802915256621
elecdereg,0.5445983347266999
dev_s8,0.5049458108631381
abortion_partial_birt,0.2911567089376068
dev_s2,0.3460506014137707
restruct,0.6130629764977847
"ucc article 5, letters of credit (1995)",0.4839614398663496
certification of questions of law (1995),0.0303068233431974
interstate compact on mentally disordered offenders,0.0146630308034295
continsurance,0.1020074776617819
gdl,0.3188556309970606
optinnot,0.0762669980571278
adoption act (1994),0.5
methpre,0.1064274198482246
drugs_medical_marijuan,0.1605058074524032
banfaninc,0.1847096051144369
rps_yearadopted,0.2020096285729944
pre20wk,0.4347015420596071
limited liability company (1995)(1996),0.0556150194789932
land sales practices,0.1447384366489846
principal and income act (2000),0.1881379330300228
emcont_avail,0.0948894171189501
dev_s5,0.1884010903159417
interreg,0.0771252307195151
postdna,0.7452036358402517
planned community act,0.0552334943639291
dnaforexon,0.744839673989195
terrorfund,0.1102286959134925
contr_eq,0.0900330748568572
cyberstalk,0.1784439854632937
damremov,0.0390254942267277
harass,0.2386413683493905
stalkdef,0.2611949611807954
regulation_physician_suicid,0.1361386452812012
w_ec_access_expan,0.106348553725278
kinship,0.0934080732346554
sundayban,0.171535554778277
nurse licensure compact,0.0658739317576417
civinjaut,0.2775895985987719
hostliability,0.0818356066138912
giexorder,0.0326113220035454
furlough,0.1305140812392474
gayrights_hatecrime,0.1079699852007583
antibully,0.1576272378733833
antishack,0.0109031572552364
wmd,0.2718210162772843
autism,0.1147647839267227
ccreceipt,0.1133936330698031
racialpro,0.1481285855099388
amber,0.3647659050205562
electronic transactions act,0.2941662972590206
naticurric,0.0577929800973051
multistate tax compact,0.0127076123145056
national crime prevention and privacy compact,0.1135244228733589
computer information transactions act,0.1321732652192422
gayrights_civilunion,0.1464112267668138
dnafelon,0.2777734000333527
environment_electronic_wast,0.3305558586258501
licenseplate,0.0806368053967784
w_educ_biblepubli,0.0227272727272727
interstate compact on licensure of participants in horse racing with pari-mutuel wagering,0.0509253578990626
disclaimer of property interests act,0.0243520093823356
inst_tu_und,0.1242203814950565
w_guncontrol_waitingperio,0.0077252434239665
parentage act,0.0471862734224135
medicalrest,0.0905159518064605
athlete agents act,0.1633283721290509
arbitration act (2000),0.0575969418917076
money services act,0.0258020411065057
credfreez,0.196793993586999
undoctuit,0.6904761178689194
immigration_instate_tuition_ill,0.49520423197847
interstate enforcement of domestic violence protection orders act,0.075361671122012
consumer leases act,0.1666666666666666
regulation_motorcycle_helmet,0.2958435924756573
unsworn foreign declarations act (2008),0.0371972627405288
trust code,0.0946586892227167
interstate family support act (2001),0.1383742758979895
drugs_smoking_ban_workplace,0.4818976837392307
ewaste,0.4063786939220667
vouchers,0.0343514510181176
"ucc article 1, general provisions (2001)",0.3303788468072343
interstate insurance product regulation compact,0.1700367304665457
worksitebanstate,0.3826657236043654
mediation act,0.039236132802379
anti-discrimination,0.039513874853946
"ucc article 3, negotiable instruments and article 4, bank deposits (2002)",0.0885222014771624
child witness testimony by alternative methods act,0.0140590354620073
limited partnership act (2001) (last amended 2013),0.0506876420572528
environment_ca_car_emissions_st,0.2766179985402721
humantraffic,0.272101346573387
securities act,0.0593203949033179
license_plates,0.0206396424813967
"ucc article 7, documents of title (2003)",0.5730518129641283
environmental covenants act,0.1118796948704021
gayrights_marriag,0.0289990952042407
principal and income act (1962),0.029387351801576
dev_s6,0.0120944092827004
real property electronic recording act,0.1284363917951409
management of public employee retirement systems act,0.0614737114737114
salvia,0.11165679973074
residential mortgage satisfaction act,0.0204667665390066
gap,0.0760948465712249
environment_ghg_ca,0.2986195650978165
inst_tu_vet,0.0986518106375284
dev_s3,0.0730021289617905
"debt-management services act, 2005",0.0453600478171718
genderrights_gender_discriminat,0.0209473889235727
labor_minwage_abovefe,0.0450791637642444
national popular vote interstate compact,0.0418396638744718
norealid,0.1173321972215926
"registered agents act, model (2006) (last amended 2011)",0.1487514834985526
prudent management of institutional funds act,0.4008054815859994
foreign-country money judgments recognition act,0.1136165646904483
child abduction prevention,0.0605040559636951
anatomical gift act (2006),0.3306410185243885
"entity transactions act, model (2007) (last amended 2013)",0.0143281381023035
emergency volunteer health practitioners,0.085653514466697
power of attorney,0.0833306002957078
limited partnership act (1916),0.0553441727848954
goodsam911,0.0886138260926175
assignment of rents act,0.087964061162396
interstate compact on educational opportunity for military children,0.4215481056686719
adult guardianship and protective proceedings jurisdiction act,0.2932888547773697
interstate depositions and discovery act,0.2311659186475841
limited cooperative association act (2007) (last amended 2013),0.0455253110113148
limited liability company (2006) (last amended 2013),0.047177778452569
unincorporated nonprofit association act (2008) (last amended 2011),0.02280949725524
principal and income amendments (2008),0.3311818056651568
estate_ta,0.3782513679870868
pestcomp,0.0533396260236521
