feature,rf_importance,xgb_importance
srcs_decay,0.1429971389234002,0.058016457
nbrs_lag,0.07363159376735358,0.039725587
rpcpinc,0.13491947546730065,0.021662297
totpop,0.11762258883163361,0.01742772
legp_squire,0.07639995725181925,0.015841963
citi6010,0.11643492207735924,0.01465651
unif_rep,0.009964731588030185,0.01447481
unif_dem,0.014338619788918282,0.01403106
time,0.06238834601359872,0.018823013
time_sq,0.06496761050946076,0.025499372
time_cube,0.06299801192087447,0.015742771
state_AL,0.002807195956109212,0.014815829
state_AR,0.002573723248443911,0.01275198
state_AZ,0.003414671422808468,0.01610441
state_CA,0.0026508668265131257,0.032059193
state_CO,0.002691395905626094,0.0
state_CT,0.0024178511448656737,0.014462472
state_DE,0.002616583158908481,0.015439288
state_FL,0.003366012506087048,0.019202707
state_GA,0.002252460066766835,0.011913401
state_HI,0.0017925804588897714,0.014139472
state_IA,0.0029817680946626498,0.018969953
state_ID,0.0021607406535720875,0.012601044
state_IL,0.003130648206232789,0.013573674
state_IN,0.002396078142148356,0.013387952
state_KS,0.0024243966330390236,0.013700801
state_KY,0.002430167072767981,0.009054678
state_LA,0.0042245847511839536,0.020405829
state_MA,0.002182932749044362,0.011492235
state_MD,0.0024120343455723194,0.016050708
state_ME,0.0029392291325558797,0.015610964
state_MI,0.0024206304021136,0.018523548
state_MN,0.002881533993428539,0.01955953
state_MO,0.00270959199992425,0.0131584685
state_MS,0.0023402843373344245,0.014653307
state_MT,0.0022539476691871307,0.011892681
state_NC,0.0034505089206694913,0.016420195
state_ND,0.001948442306240841,0.0133574
state_NH,0.0017748843771307986,0.03243217
state_NJ,0.0025213844173508043,0.014087917
state_NM,0.002912220904962479,0.020943275
state_NV,0.002633534509884301,0.017001722
state_NY,0.002471288136100333,0.018500779
state_OH,0.002241788969914158,0.013086523
state_OK,0.0021761354615674293,0.015508689
state_OR,0.0027827991382460802,0.016528603
state_PA,0.0025967746169463994,0.017732034
state_RI,0.002715084856391285,0.014039021
state_SC,0.0026913122899844947,0.015384353
state_SD,0.0021004195986371104,0.011110891
state_TN,0.00290579374047565,0.017018437
state_TX,0.0022847745482549946,0.014693654
state_UT,0.001957923362026715,0.012361402
state_VA,0.0028166722945388205,0.017770413
state_VT,0.0023941554597180837,0.017309852
state_WA,0.0029712867747207295,0.0147829065
state_WI,0.0024821619304025463,0.015391841
state_WV,0.0020588034596495993,0.012265558
state_WY,0.0019769449086518695,0.012846704
