state,xgb_ap_score
AL,0.13871191296789645
AK,0.1835392364872062
AZ,0.23987644049560433
AR,0.2682004881527352
CA,0.16427160581919262
CO,0.15335245317318064
CT,0.19783355699539815
DE,0.2478656113215223
FL,0.20058247749858746
GA,0.15156878500384777
HI,0.14225558232327928
ID,0.2017848959570077
IL,0.1830571067885427
IN,0.17228111420093725
IA,0.2076377591333424
KS,0.22182631409664558
KY,0.19225759922559046
LA,0.15470085117569202
ME,0.24818732072260366
MD,0.23855467335094618
MA,0.14036882117779648
MI,0.18892332045813284
MN,0.22576768359472163
MS,0.14217769526071422
MO,0.2597121731760597
MT,0.24805674255652288
NE,0.13030929958899246
NV,0.21888308465063974
NH,0.1420488917576224
NJ,0.24512208357573861
NM,0.21028780877948772
NY,0.14670232503285605
NC,0.20672546755888785
ND,0.16147754508805598
OH,0.18336021516815917
OK,0.21348262581531108
OR,0.25303672063619237
PA,0.17402770224404976
RI,0.19665748313156417
SC,0.17577397592476598
SD,0.14432859645455257
TN,0.22004548476872765
TX,0.15796727245553224
UT,0.24394768385212992
VT,0.17588838071025625
VA,0.19045301136053763
WA,0.20982877924119284
WV,0.07796829243802049
WI,0.21220634292732732
WY,0.1612014533974104
