"state","year","std_score","initiative","init_sigs","std_population","std_citideology","unified","std_income","std_legp_squire","duration","durationsq","durationcb","year_1993","year_1994","year_1995","year_1996","year_1997","year_1998","year_1999","year_2000","year_2001","year_2002","year_2003","year_2004","year_2005","year_2006","year_2007","year_2008","year_2009","year_2010","year_2011","event","billnum","year_2012","year_2013","year_","year_1991","year_1992"
"MA",1992,-0.488436698913574,1,3.25,0.213326394557953,2.26857948303223,0,1.01028549671173,1.11748230457306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"MI",1992,-0.488436698913574,1,9,0.862137973308563,0.831249356269836,0,0.115438528358936,2.62854909896851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"MN",1992,-0.488436698913574,0,0,-0.0749676302075386,0.815833985805511,0,0.367364317178726,-0.139002457261086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"MS",1992,-0.488436698913574,1,12,-0.42695164680481,-0.732648015022278,0,-0.953095078468323,-0.566043078899384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"MO",1992,-0.488436698913574,1,4.32999992370605,0.0607100687921047,0.536126852035522,0,0.00778478197753429,0.0170315690338612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"MT",1992,-0.488436698913574,1,7.5,-0.765044271945953,0.299685299396515,0,-0.501869738101959,-1.00950837135315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"NE",1992,-0.488436698913574,1,8.5,-0.617258906364441,0.365502208471298,0,0.0846231430768967,-0.196488693356514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"NV",1992,-0.488436698913574,1,10,-0.666209995746613,-0.213213592767715,1,0.596679151058197,-0.286824256181717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"NH",1992,-0.488436698913574,0,0,-0.710133373737335,0.0307747852057219,1,0.546253740787506,-1.32978880405426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"NJ",1992,-0.488436698913574,0,0,0.561542212963104,1.07833278179169,0,1.43109595775604,1.01893448829651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"NM",1992,-0.488436698913574,0,0,-0.62031364440918,0.229116559028625,1,-0.592915058135986,-1.17375481128693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"NY",1992,-0.488436698913574,0,0,2.51081204414368,1.51441848278046,0,1.09612834453583,2.62033677101135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"NC",1992,-0.488436698913574,0,0,0.376641750335693,-0.302234709262848,0,-0.0954668521881104,-0.385372072458267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"ND",1992,-0.488436698913574,1,3,-0.800310969352722,1.10478794574738,0,-0.342189848423004,-1.13269317150116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"OH",1992,-0.488436698913574,1,8,1.1536717414856,0.441860556602478,0,0.0888253077864647,0.977872967720032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"OK",1992,-0.488436698913574,1,11.5,-0.314731419086456,-0.191539600491524,1,-0.446842312812805,-0.0650916770100594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"OR",1992,-0.488436698913574,1,7,-0.35774827003479,1.32890665531158,0,-0.0300341099500656,-0.352522850036621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
