state,rf_ap_score
AK,0.1792278442698142
AL,0.05530137420493342
AR,0.13159190872982726
AZ,0.3297958025701666
CA,0.23173513819728528
CO,0.20948785434221265
CT,0.2013220114196915
DE,0.20383702784567195
FL,0.178353048911394
GA,0.20170508451606875
HI,0.10261346930501354
IA,0.18150135101331807
ID,0.25575680631950665
IL,0.27361731060877775
IN,0.13609696139532887
KS,0.16815902712787859
KY,0.22598535164939712
LA,0.1979355625298549
MA,0.10814709587173266
MD,0.2333567429378187
ME,0.15553084315107615
MI,0.06578176649212587
MN,0.20496592145544676
MO,0.17247376478467072
MS,0.08984539737429593
MT,0.2864736113676733
NC,0.13595079122054676
ND,0.2382125077658712
NH,0.17143308587614373
NJ,0.22768205965047164
NM,0.19229460355058778
NV,0.14718653859127848
NY,0.16302680684298532
OH,0.19974732694705333
OK,0.17168343888559853
OR,0.17342149464459222
PA,0.25112044695280017
RI,0.2210057063808356
SC,0.21597169250992013
SD,0.14164955029062629
TN,0.15552684181839935
TX,0.21586726836216197
UT,0.29093126078680576
VA,0.32173165705653844
VT,0.056327921169094436
WA,0.21117889545035606
WI,0.1253547600402056
WV,0.1381671580162338
WY,0.14981681806622313
