state,xgb_ap_score
AK,0.19526024622771188
AL,0.05376964895654682
AR,0.14627755635817263
AZ,0.3267217163139977
CA,0.2307565608680392
CO,0.21317291526720605
CT,0.17701471888575482
DE,0.181937093972626
FL,0.18502284383649317
GA,0.18868030070227038
HI,0.10661569403156074
IA,0.1705116309732464
ID,0.21691923952420855
IL,0.2500660652324964
IN,0.1770000150816883
KS,0.13964759607753516
KY,0.25202652193034797
LA,0.19419557685360808
MA,0.11623874723483886
MD,0.20297924291308964
ME,0.14427283035353722
MI,0.0631081113552543
MN,0.20409849868237218
MO,0.14970560197646618
MS,0.09001602295094387
MT,0.2837817304871653
NC,0.1403940358698019
ND,0.22103373381187977
NH,0.17289413576627435
NJ,0.23280465086268087
NM,0.13510125033409617
NV,0.14246744039111614
NY,0.1539276798127185
OH,0.20422784082948656
OK,0.1803526705995057
OR,0.17738818908797382
PA,0.17617525963928848
RI,0.19967180332349596
SC,0.20864611493607854
SD,0.15213098290061833
TN,0.14244679307607272
TX,0.20290404373831283
UT,0.3009606706862082
VA,0.30338813141728965
VT,0.05790645830444279
WA,0.19434696201332338
WI,0.11366847378661445
WV,0.13772944252636174
WY,0.1462507176472963
