state,xgb_ap_score
AL,0.16557506999498334
AK,0.0684804299146581
AZ,0.12760179435278926
AR,0.1593921647168981
CA,0.11726884443967911
CO,0.15376999343221198
CT,0.14102699439339592
DE,0.15662476039476037
FL,0.11512727808163474
GA,0.153402417648087
HI,0.13629139453810493
IL,0.14169977805362274
IA,0.13906840774355086
KS,0.16271393287783228
ME,0.1515179266774576
MD,0.18430837449877965
MA,0.1662517122286921
MI,0.15513477064559358
MN,0.150425198095224
MS,0.13944183618312223
MO,0.20996014018119458
MT,0.1632710866061446
NV,0.18702509089332545
NH,0.1522352585889112
NJ,0.18587701466534887
NM,0.18717320242859112
NY,0.14342733255255224
NC,0.1939504997955371
ND,0.14939967864932677
OH,0.18644186507690544
OK,0.1523955676484204
OR,0.19462084355662249
PA,0.1332330722952804
RI,0.15321766591644156
SC,0.12309111370987308
SD,0.1486091716193905
TN,0.15795193764029383
TX,0.12455480311617162
UT,0.16852270997939325
VT,0.1518843473483349
VA,0.13284845176355164
WA,0.14245578093594222
WV,0.07548735111268556
WI,0.1443554426504584
WY,0.11584778749987713
