state,rf_ap_score
AL,0.1681342621143169
AK,0.0639146002021345
AZ,0.1304476032549378
AR,0.1708363642056353
CA,0.1253030333182559
CO,0.1615742603086325
CT,0.1634013868053404
DE,0.1801621153640518
FL,0.125008937081966
GA,0.165979953916645
HI,0.1304016530851931
IL,0.1402951816907287
IA,0.1525455803834971
KS,0.1739754702773732
ME,0.1456496536542334
MD,0.2045294373324049
MA,0.164576396729372
MI,0.1541728719037574
MN,0.1844870859056234
MS,0.1349571645819579
MO,0.2314627645817258
MT,0.1712154859393451
NV,0.2232240812977758
NH,0.1538341828195507
NJ,0.1848816854354307
NM,0.1785059400920614
NY,0.1668534962655067
NC,0.2300824533413445
ND,0.1509794808983639
OH,0.1804143220395504
OK,0.1521418735438246
OR,0.2118229340461286
PA,0.135492543020202
RI,0.1615995981658278
SC,0.1325886740016262
SD,0.1533859936290159
TN,0.1755075778738612
TX,0.1566611440708079
UT,0.1848873980094401
VT,0.1461208165840076
VA,0.1347445010195301
WA,0.1498250843206021
WV,0.0649515107829968
WI,0.162383456081572
WY,0.1440864813286334
