state,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
MO,0.0963968012645602,0.0963745487821803,0.2321003873000826,0.2135408547727308
OR,0.1361669273262798,0.135297912266316,0.211547692770891,0.1946208435566224
NC,0.0912376567069658,0.0911467623692529,0.2255448820293914,0.1939504997955371
NV,0.1458177886859553,0.1457197141420872,0.2230093672404901,0.1899051342867169
NM,0.1238733490396703,0.1239000688547104,0.1785059400920614,0.1858976964953922
MD,0.1001389263394395,0.0998471103518011,0.2002857473746623,0.1827370806141419
NJ,0.1002558218939065,0.1002127188898765,0.1856656755973698,0.1826363799470754
OH,0.0937510700006927,0.0937593587477683,0.1770629090813295,0.1823026232857088
UT,0.1388121522150357,0.138698450529384,0.1827929844732831,0.1714321204664027
AL,0.1087487222571794,0.1088175085515051,0.1681342621143169,0.1662822437614232
MA,0.093047067157962,0.0929743668536202,0.1646359192156427,0.1637171480331841
MT,0.0943990281378312,0.0943958978682241,0.1712154859393451,0.1632710866061446
KS,0.0950593398710967,0.0950711764133187,0.1764131897706326,0.1627139328778322
AR,0.1007624914053927,0.1009341812072959,0.1715146060005837,0.1593921647168981
TN,0.1249738261474329,0.1250753563813171,0.1755075778738612,0.1579519376402938
OK,0.0869917209174242,0.0869384066947535,0.1521418735438246,0.1570009309957988
DE,0.0833074186830636,0.0833486447973273,0.1801621153640518,0.1566247603947603
MI,0.1112502230925399,0.1105337339815273,0.1541728719037574,0.1560908300033087
RI,0.086826833378392,0.0869418125942465,0.1740251222976547,0.1532176659164415
CO,0.1165083564357365,0.1164910234214507,0.1608920138183718,0.1529987616616893
VT,0.0894243180235465,0.0893535282857896,0.1460760976638876,0.1518843473483349
GA,0.0931099300484192,0.0932699317575758,0.1674504502509371,0.1514124850683181
MN,0.0939731921080438,0.0940476046991186,0.1815308307839116,0.1507147117283437
NH,0.0916302888273091,0.0915280294662577,0.1538341828195507,0.1496137324964646
ME,0.0939768386506249,0.0940264475964075,0.1457730881169951,0.1486943578832083
ND,0.0924119918494273,0.0923676749613493,0.1504098095126953,0.1486408949485796
SD,0.1174054382967672,0.1175529592639368,0.1518410031663404,0.1486091716193905
WI,0.0886074163974125,0.0885946484589761,0.162383456081572,0.1443554426504584
CT,0.1012067520341236,0.0998238819778223,0.1634013868053404,0.1440340835424231
WA,0.0831619855299805,0.0831137533276731,0.1498250843206021,0.1436216977187081
NY,0.0866488106072604,0.0859696054405234,0.1724584406558622,0.1434273325525522
IL,0.1017756157973877,0.100505313377508,0.1370772183313789,0.1378392624457742
IA,0.1093513142209179,0.1097644528345391,0.1521920026339878,0.1369518387811285
MS,0.106754891662113,0.1066814771930435,0.1349571645819579,0.1355204908153451
HI,0.067822475092893,0.067819900225577,0.133473084576966,0.1352903827436686
PA,0.1002269888276205,0.1002020281972694,0.1359530167959476,0.1333423944693668
VA,0.097274465938021,0.097201604308826,0.1352465724907569,0.1328484517635516
TX,0.0894425740831404,0.0891596923952612,0.1566611440708079,0.1284066384062358
AZ,0.0986982159244099,0.0987159959192646,0.1301396496823494,0.1276017943527892
SC,0.099433449228558,0.0995007653838048,0.1373489862579856,0.1211497772926873
FL,0.073899521368372,0.0738660885007826,0.1226915550073484,0.1176441719861112
WY,0.073090497317191,0.0723793030877656,0.1468839425410031,0.1139950036349963
CA,0.0849449158108436,0.0848635492990883,0.1253030333182559,0.1132389317100943
WV,0.0409272088014109,0.0410131811566434,0.0636430115338973,0.0772861832817742
AK,0.0375192309104317,0.0376218921881846,0.0640666617404193,0.0686352890622921
