fips,policy_num,state,abbrev,stateno1,year_adopted,state_pol_id,year,adopt_policy,fem_dem,religadhrate,norrander_legality,initdif,uni_dem_leg,time,time2,nbrspct,webster,state_policy,dem_gov,rescaledmedincome,rescaledpopsize,policy_name
16,2,Idaho,ID,12,2011.0,475,1973,0.0,0.084,0.5251955,2.61,5,0,0,0,0.0,0,409,1,1.4594,0.07826056,Ban 20 week to viability
18,2,Indiana,IN,14,2011.0,561,1973,0.0,0.06,0.44656852,2.73,0,0,0,0,0.0,0,483,0,1.3552,0.5282869,Ban 20 week to viability
20,2,Kansas,KS,16,2011.0,647,1973,0.0,0.055,0.5294888,2.83,0,0,0,0,0.0,0,557,1,1.1448,0.22832498,Ban 20 week to viability
22,2,Louisiana,LA,18,2012.0,733,1973,0.0,0.014,0.59092873,3.02,0,1,0,0,0.0,0,631,1,0.9508,0.3811126,Ban 20 week to viability
25,2,Massachusetts,MA,21,1974.0,862,1973,0.0,0.08,0.63607424,2.39,4,1,0,0,0.0,0,742,0,1.4173,0.5703519,Ban 20 week to viability
27,2,Minnesota,MN,23,1974.0,948,1973,0.0,0.04,0.6594182,2.71,0,1,0,0,0.2,0,816,1,1.3687,0.3886648,Ban 20 week to viability
29,2,Missouri,MO,25,1974.0,1034,1973,0.0,0.061,0.5187083,2.78,4,1,0,0,0.0,0,890,0,0.7971,0.47492796,Ban 20 week to viability
31,2,Nebraska,NE,27,2010.0,1120,1973,0.0,0.02,0.61247903,2.72,3,0,0,0,0.16666667,0,964,1,1.063,0.12783538,Ban 20 week to viability
37,2,North_Carolina,NC,33,1973.0,1378,1973,1.0,0.088,0.51706016,2.69,0,1,0,0,0.0,0,1186,0,1.222,0.5319641,Ban 20 week to viability
39,2,Ohio,OH,35,1995.0,1464,1973,0.0,0.061,0.48000467,2.78,5,0,0,0,0.0,0,1260,1,1.0263,1.0695512,Ban 20 week to viability
40,2,Oklahoma,OK,36,2011.0,1507,1973,0.0,0.04,0.55969214,2.68,4,1,0,0,0.0,0,1297,1,1.2669,0.2699277,Ban 20 week to viability
42,2,Pennsylvania,PA,38,1989.0,1593,1973,0.0,0.036,0.5972695,2.85,0,0,0,0,0.16666667,0,1371,1,1.169,1.1815836,Ban 20 week to viability
45,2,South_Carolina,SC,40,1974.0,1679,1973,0.0,0.041,0.52089393,2.8,0,1,0,0,0.5,0,1445,1,1.1609,0.27490613,Ban 20 week to viability
46,2,South_Dakota,SD,41,1973.0,1722,1973,1.0,0.105,0.6850878,2.89,5,1,0,0,0.0,0,1482,1,0.9985,0.06733799,Ban 20 week to viability
49,2,Utah,UT,44,1990.0,1851,1973,0.0,0.077,0.8106294,2.73,4,0,0,0,0.0,0,1593,1,1.1206,0.11797911,Ban 20 week to viability
1,2,Alabama,AL,1,1975.0,2,1974,0.0,0.007,0.516318,2.8,0,1,1,1,0.0,0,2,1,1.0044,0.3622899,Ban 20 week to viability
4,2,Arizona,AZ,3,2012.0,88,1974,0.0,0.2,0.44312054,2.28,4,0,1,1,0.0,0,76,0,1.2324,0.21506892,Ban 20 week to viability
5,2,Arkansas,AR,4,2013.0,131,1974,0.0,0.022,0.49061626,2.93,5,1,1,1,0.14285715,0,113,1,0.8785,0.2067977,Ban 20 week to viability
6,2,California,CA,5,1987.0,174,1974,0.0,0.025,0.33912805,2.24,6,0,1,1,0.0,0,150,0,1.3773,2.143948,Ban 20 week to viability
13,2,Georgia,GA,10,2012.0,389,1974,0.0,0.042,0.46507782,2.83,0,1,1,1,0.4,0,335,1,1.0922,0.4939345,Ban 20 week to viability
16,2,Idaho,ID,12,2011.0,475,1974,0.0,0.084,0.52167624,2.61,5,0,1,1,0.0,0,409,1,1.5574,0.08058048,Ban 20 week to viability
18,2,Indiana,IN,14,2011.0,561,1974,0.0,0.06,0.44674784,2.73,0,0,1,1,0.0,0,483,0,1.4514,0.53126013,Ban 20 week to viability
20,2,Kansas,KS,16,2011.0,647,1974,0.0,0.055,0.5301915,2.83,0,0,1,1,0.25,0,557,1,1.234,0.22946425,Ban 20 week to viability
22,2,Louisiana,LA,18,2012.0,733,1974,0.0,0.014,0.588472,3.02,0,1,1,1,0.0,0,631,1,1.0251,0.3867108,Ban 20 week to viability
25,2,Massachusetts,MA,21,1974.0,862,1974,1.0,0.08,0.63757,2.39,4,1,1,1,0.0,0,742,0,1.5191,0.5708302,Ban 20 week to viability
27,2,Minnesota,MN,23,1974.0,948,1974,1.0,0.04,0.6582053,2.71,0,1,1,1,0.2,0,816,1,1.461,0.39138415,Ban 20 week to viability
29,2,Missouri,MO,25,1974.0,1034,1974,1.0,0.061,0.52115214,2.78,4,1,1,1,0.0,0,890,0,0.8659,0.47732395,Ban 20 week to viability
31,2,Nebraska,NE,27,2010.0,1120,1974,0.0,0.02,0.61528355,2.72,3,0,1,1,0.33333334,0,964,1,1.1428,0.12098746,Ban 20 week to viability
39,2,Ohio,OH,35,1995.0,1464,1974,0.0,0.061,0.4821654,2.78,5,0,1,1,0.0,0,1260,1,1.1101,1.071001,Ban 20 week to viability
