year,original_f1,original_balanced_acc,original_ap_score,logit_f1,logit_balanced_acc,logit_ap_score,rf_f1,rf_balanced_acc,rf_ap_score,xgb_f1,xgb_balanced_acc,xgb_ap_score
2008,0.0,0.5,0.028739647895015208,0.0,0.5,0.010939093952257305,0.0,0.5,0.054038922697918934,0.0,0.5,0.014115576017266561
2009,0.0,0.5,0.004576984317594974,0.0,0.5,0.005100251345810313,0.0,0.5,0.004134638703125748,0.0,0.5,0.003562002666875207
2010,0.0,0.5,0.0036605469396088176,0.0,0.5,0.003499093335185677,0.0,0.5,0.003005158528255757,0.0,0.5,0.00745087062597566
2011,0.0,0.5,0.07665722519832793,0.0,0.5,0.14432775125862035,0.0,0.5,0.004354798703953604,0.0,0.5,0.0038430035454831346
