year,original_ap_score,logit_ap_score
1980,0.19056652590622034,0.09073350559495166
1981,0.04445422305626691,0.04401960554002818
1982,0.17257270698753302,0.1712047697852866
1983,0.01830086594111409,0.019178412919589646
1984,0.03277316321048282,0.03217704971382493
1985,0.12102361392443324,0.11921263589932599
1986,0.15211500124246852,0.15369434533856377
1987,0.036615932200019616,0.035486999006078754
1988,0.04382661349874465,0.01830831146687924
1989,0.033401014041109595,0.029147219717797136
1990,0.06432202521057959,0.1069590384717945
1991,0.004480431936415639,0.004721487110807917
1992,0.1072498816806217,0.02226738344133117
1993,0.025149891222512072,0.025410049828672107
1994,0.01234984984984985,0.008642247719917623
1995,0.013243123711758809,0.017471410486349877
1996,0.07351900431464624,0.05338857844532762
1997,0.021701769762900468,0.02386008686257588
1998,0.0338262888666483,0.03134732885333005
1999,0.03163644457865655,0.03074506595173021
2000,0.057418393691067486,0.05428991097485047
2001,0.08066897412254502,0.067514325314117
2002,0.15255836600849332,0.1885675108555799
2003,-0.0,-0.0
2004,0.014397121944291756,0.015262961852235475
2005,0.015518633898696203,0.011416709911779968
