year,original_ap_score,logit_ap_score
1989,0.028189286992011953,0.03212592727009018
1990,0.05294385735704148,0.07621562910945057
1991,0.004346945619880963,0.004648139066029186
1992,0.023618330660173898,0.023860386273795477
1993,0.025408788112329606,0.025308190793816923
1994,0.01327284946236559,0.00854950675922543
1995,0.014698067756296186,0.014008633320895794
1996,0.06337260320004763,0.0356237561288741
1997,0.02283333252193876,0.025605990947408536
1998,0.02265019922684753,0.04738842105131738
1999,0.03214709302355038,0.027636005753247202
2000,0.05725911211830193,0.06617162575858934
2001,0.0766315258048152,0.10170910146963917
2002,0.13028021729460354,0.14618101181616464
2003,-0.0,-0.0
2004,0.013221184273815852,0.017445406256147943
2005,0.012507603406326034,0.015338827838827838
