year,xgb_ap_score
1980,0.05423319348839631
1981,0.059910440596168214
1982,0.031122377961654908
1983,0.022320559900459877
1984,0.05763191869245063
1985,0.08539027516935425
1986,0.0510915850269038
1987,0.03294861425420337
1988,0.04173242429981272
1989,0.13256431976929792
1990,0.022138430024690604
1991,0.006143978046249077
1992,0.03644862165850422
1993,0.056585801718415804
1994,0.010852451641925326
1995,0.03682929637553281
1996,0.2028124459727937
1997,0.05310888187159524
1998,0.022715381396532945
1999,0.052744745557516806
2000,0.11805530449829742
2001,0.19435823595776539
2002,0.10688835294139755
2003,-0.0
2004,0.0127589549378959
2005,0.0081126261964075
