year,rf_ap_score
1980,0.035157934365344035
1981,0.05344821455347702
1982,0.05709317662385915
1983,0.020053634360369707
1984,0.024970117333409092
1985,0.10518173740131494
1986,0.0648413733967722
1987,0.023444120136156314
1988,0.029166666666666667
1989,0.021635638692938997
1990,0.027488954846789627
1991,0.007165687142580832
1992,0.0372290235066639
1993,0.01849782181999996
1994,0.009127873205543108
1995,0.02083271433246312
1996,0.1349062890141082
1997,0.09759742527539704
1998,0.0468693953724859
1999,0.04581840754315525
2000,0.09929252562377697
2001,0.11790685599725334
2002,0.24250379540518666
2003,-0.0
2004,0.005480977726378218
2005,0.02564935064935065
