year,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
1998,0.028806429466985112,0.0759645727936328,0.21916948960441945,0.1506219384922245
1999,0.03114983164768713,0.05992003303742858,0.048707673844312765,0.0658071118803206
2000,0.015035818529869793,0.0233575477188702,0.03904971401627522,0.07953773120172535
2001,0.07428922585332201,0.04879320279629292,0.053144933531445025,0.035442585089703355
2002,0.07962543411972031,0.0792205368117225,0.10171065628028138,0.06431097885656445
2003,0.0459130568725172,0.03589078571080427,0.06647106553586918,0.07017380400126785
2004,0.039033363446808814,0.027791851394043412,0.04064904605978893,0.03718643365119528
2005,0.025914630855979767,0.034019643960676055,0.12298116794720061,0.09523883950986947
2006,0.033616763554441896,0.032788499315202654,0.06464651327747581,0.23756442572268863
2007,0.023427491108674425,0.033866651795983305,0.09776379381977748,0.0460114347343626
2008,0.02284750337381916,0.010261372852613729,0.03324700640490114,0.012571375859047093
2009,0.04470740091391348,0.032313560358845646,0.05875598823445138,0.07600357579996166
2010,0.08979308663496434,0.13667776964002093,0.10136947129452725,0.0573192191540391
2011,0.11369732250535755,0.09643112670505949,0.1288000082321938,0.13226667618393537
2012,0.06559870843581193,0.15625727683162657,0.1337953092775037,0.17182925311111102
