year,original_ap_score,logit_ap_score
1999,0.0994597201851677,0.09922280215861462
2000,0.09192567735932655,0.09243712134841106
2001,0.17038298036588512,0.17206499953989626
2002,0.12273013064305774,0.12375673812445537
2003,0.1771928443704958,0.17831289136697206
2004,0.08153307931106357,0.0816559595571126
2005,0.09391564932857979,0.0802932248398724
2006,0.11027987770651991,0.11075688585511034
2007,0.10923169305783775,0.10541149410791513
2008,0.13194434271032185,0.13182298118380117
2009,0.1627186154562714,0.16036399995294798
2010,0.09810678688386744,0.09774880630262238
2011,0.10084720852447207,0.10004882137920129
2012,0.07827857887521557,0.07847383992550694
2013,0.11906904440375621,0.11954707922077036
2014,0.10720719182918538,0.10851549681758708
