year,original_ap_score,logit_ap_score
1995,0.09200221164754895,0.09222916353308575
1996,0.13439026881019914,0.13429130466326408
1997,0.17512523404969763,0.17496143945167575
1998,0.15300526602683237,0.14942323032094362
1999,0.10064219285677156,0.1008928525296271
2000,0.09322518891396098,0.09363480903948229
2001,0.17142632968542984,0.17205035494089987
2002,0.1241389880833946,0.12035470621319184
2003,0.17816282272911316,0.17843991533895473
2004,0.08066375339435407,0.08124584177140123
2005,0.09430481533913408,0.07776287803284308
2006,0.11066709605659139,0.11075841281415455
2007,0.11008738936729445,0.10593552018041774
2008,0.1312183329622093,0.13131932576530414
2009,0.1642601381989215,0.16424103703515688
2010,0.09774808629981517,0.09780536313000904
2011,0.10094425271884132,0.09696778346129573
2012,0.0787537034927667,0.07893981560819013
2013,0.1204430601294412,0.11998061091347265
2014,0.10383093543952071,0.10534383642996822
