billname,rf_ap_score
pubaccess,0.2431624063215234
pubbenefits_yearadopted,0.3961136449161627
pubbrefeed,0.4243639593977891
pubemployees,0.007503790208761625
racialpro,0.1408652987641334
real property electronic recording act,0.12457867528596789
real property transfer on death act,0.09049379027933464
"registered agents act, model (2006) (last amended 2011)",0.14970310720493116
regulation_bicycle_helmet,0.0652629809890886
regulation_physician_suicid,0.00983304073407859
regulation_rfr,0.035395305940965044
residential mortgage satisfaction act,0.02968459146191248
restruct,0.4691246376774538
rps_yearadopted,0.16527523928336926
salvia,0.08832077085269202
sdce,0.11558397617557374
securities act,0.07324004430519067
sexreginfo,0.08056471243706154
simultaneous death act,0.025220518903630963
smokeban,0.44716056612985694
stalkdef,0.15898901297730383
stalking,0.37737755511493726
standground,0.06477571818025922
statutory form power of attorney act,0.05750143676826298
statutory trust entity act,0.032445332445332445
statutory will act (1984),0.02143719806763285
sundayban,0.18640239007540668
supp_research,0.05509160088162499
surplus lines insurance multi-state compliance compact,0.34443284688329595
termlim,0.060267086269241044
terrorfund,0.16451766733780507
threestrikes,0.1911562516084209
timelim,0.2651443000792198
tod security registration act,0.22279996064189936
trust code,0.11468909652535915
"ucc article 1, general provisions (2001)",0.2960549443602229
"ucc article 3, negotiable instruments (1990)",0.3645902705391754
"ucc article 3, negotiable instruments and article 4, bank deposits (2002)",0.06632466909594235
ucc article 4a amendments (2012),0.47797481614210846
"ucc article 4a, funds transfers (1989)",0.5125241455548372
"ucc article 5, letters of credit (1995)",0.42184182233370654
ucc article 6 (repeal),0.18888888888888888
ucc article 6 (revise),0.020723658383007586
"ucc article 6, bulk sales (1989)",0.16478613111728926
"ucc article 7, documents of title (2003)",0.275973848934225
"ucc article 8, investment securities (1994)",0.5377563558812278
ucc article 9 amendments (2010),0.6495251756555168
ultrasound,0.05569497898946598
unclaimed property act,0.03427361356694066
undoctuit,0.6599063005959558
unincorporated nonprofit association act (1992)(1996),0.036690037252797666
unincorporated nonprofit association act (2008) (last amended 2011),0.054994795213377
unionlimits,0.6808622841311598
universalprek,0.02682166291110345
unsworn foreign declarations act (2008),0.06867063853073112
"victims of crime act, model",0.024796747967479677
vouchers,0.05302471865939359
w_animal_cruelty_felon,0.0150209836453958
w_ec_access_expan,0.034302642155130424
w_educ_biblepubli,0.06023276136211217
w_gayright_publi_accom_genderi,0.29382748628552097
wmd,0.31303416175621956
worksitebanstate,0.20121485840356626
writreq,0.13052755561681523
