state,xgb_ap_score
AL,0.1120659939132428
AR,0.10686667445290016
AZ,0.05286166931361675
CA,0.05929255818536181
CO,0.2509772631035533
CT,0.22044937806558926
DE,0.23203885575432825
FL,0.3410468364325056
GA,0.1262180021753547
IA,0.08873840209681516
ID,0.20772629931713915
IL,0.21011663602220462
IN,0.10378915658771065
KS,0.215018255221283
KY,0.043290056704567204
LA,0.07314461581570102
MA,0.2725438583970083
MD,0.16869001754309168
ME,0.3436694431966238
MI,0.10321085366097381
MN,0.253263564061771
MO,0.19438925036222598
MS,0.04389961274879728
MT,0.1359092293305677
NC,0.1831818794140996
ND,0.11917534670236274
NH,0.21500733007734227
NJ,0.25975140334123203
NM,0.23834760788364165
NV,0.03825805694834797
NY,0.0993792913900763
OH,0.2218625701872939
OK,0.16736018446347015
OR,0.09966135700591745
PA,0.2553080969139976
RI,0.23097430648829984
SC,0.0692545670674362
SD,0.039758901648196364
TN,0.2315761975313606
TX,0.10657039356898775
UT,0.20508254740648332
VA,0.1572672794593796
VT,0.1305708392210596
WA,0.16070607185455044
WI,0.29907391575768
WV,0.25516483572003396
WY,0.170962842077193
HI,0.029730233929533553
AK,0.044822517612881446
