state,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
FL,0.0940793914271026,0.1450257753363736,0.378567277162219,0.3542624337420781
ME,0.1683236014001031,0.1787973179048874,0.3080040329408389,0.3299015028213206
WI,0.1377758455918224,0.0975452899596692,0.3231291084447908,0.3247807310547849
WV,0.2815019781401322,0.3453772859348494,0.1564566600647143,0.3002439178089759
PA,0.2372451427120122,0.2547292453562813,0.300390142194341,0.2901879459174794
MA,0.0967113614493584,0.078455286511816,0.0901644822017684,0.2841829280250468
NM,0.1348010616785749,0.1526751897477323,0.18371481370008,0.2643981552531523
NJ,0.3023205520060519,0.2725721086377524,0.2722852640018233,0.2575453613881227
CO,0.2192448856989644,0.220641806737402,0.2418404516870027,0.2565839545646901
RI,0.1597902925875305,0.1527594712073492,0.2070918382246656,0.2534220480059339
MN,0.2756913794622622,0.2859729901699918,0.2275425406467461,0.2528872696758389
DE,0.2804024719464716,0.3375874950764359,0.1847378759062356,0.2320388557543282
TN,0.1444361916181967,0.1870602245685066,0.1910669025105517,0.2317094628444899
CT,0.1573860714659873,0.126469269842174,0.2497934492357093,0.2199126145953693
IL,0.0713336590442233,0.0627248682082115,0.133246111111505,0.2101166360222046
NH,0.1285729109162799,0.0852106740834205,0.2029171682077218,0.209932883252039
ID,0.0608114105779808,0.1010322710467747,0.254332189207389,0.2063620533178981
OH,0.1753397381942849,0.190526147179415,0.1273791822898352,0.2044560822458708
KS,0.1558954296731962,0.1223292306358826,0.1921035045419095,0.2025824766847064
MO,0.0851837989572631,0.1705003941609003,0.111491393621571,0.2017624612521239
UT,0.1591925559753131,0.1285521788491131,0.1518542598981134,0.2003249113983482
WY,0.092042481476133,0.0691433933549255,0.0764465926749175,0.1880093252963598
NC,0.2005809499024123,0.2480952955686048,0.1357973944464297,0.1831818794140996
OK,0.2322524503250387,0.1386365140142052,0.2274078834883711,0.1766032095486755
TX,0.0831326894580346,0.0827123057880583,0.104968786095621,0.1614496579476259
MD,0.1490065876750353,0.1059171285483045,0.1430801948902966,0.1601108920967637
VA,0.2039262990117518,0.0977020906065528,0.1598308955386096,0.153654648945123
MT,0.0514779401933373,0.0647427687443562,0.1319089252715954,0.1395211869184481
OR,0.047428375082284,0.0448958823427404,0.0656075144116405,0.1273879688830761
VT,0.170152799909541,0.107623347634299,0.1466375993386583,0.1259621558655334
WA,0.059470863237733,0.058550864708757,0.194551805603519,0.1201320591694449
NY,0.0912160983549194,0.0732175610130238,0.0923867307134661,0.1190549426275557
ND,0.0310437929860753,0.0284400770358993,0.0705455319299555,0.1129557201938178
IN,0.1565458746209068,0.1287982506354792,0.1201436066419827,0.1128332058345185
AL,0.1659094380212236,0.1556561332042774,0.0822580350678899,0.1023446700208663
GA,0.1595594178969171,0.1588329397678512,0.0967012677561544,0.0964705154523423
AR,0.2162185455075754,0.1936902054386809,0.1383041901695488,0.0959595399212616
MI,0.1554581787792298,0.1163702503148031,0.1524213624147865,0.0928777723107182
IA,0.1077327033064256,0.1051855265448464,0.0935375941542242,0.0925592339722525
SC,0.0701802063249141,0.0585371607873721,0.0998838144082505,0.0690356857511927
LA,0.0990926774611576,0.0912395358197962,0.0545576940724218,0.0685970418295957
AZ,0.068092095697784,0.0662939087124668,0.0630882790600247,0.0680337982297045
CA,0.0647446390106016,0.0650323828087594,0.0418051421740662,0.0592925581853618
KY,0.0299656833715967,0.0296335185063477,0.0429480985988926,0.0453584924892193
SD,0.0162040336322743,0.0160293150852786,0.0671029644987339,0.0410441742460626
MS,0.0363170083258526,0.0347010835006601,0.0300753321969581,0.0409374431557095
AK,0.0313120667868294,0.0240724154875621,0.045720421478382,0.0380858780011491
HI,0.0296807106792474,0.029115431192082,0.0330320018818925,0.0357302484931436
NV,0.0315382520608315,0.0314474650573258,0.022521246935499,0.0337422786717839
