state,xgb_ap_score
AK,0.0924103033781258
AL,0.1135101970779019
AR,0.1381413682434246
AZ,0.1383523951004655
CA,0.1073344132965372
CO,0.1588922511695016
CT,0.1028341621364533
DE,0.1030105741841294
FL,0.0986075961341658
GA,0.1375679985134412
HI,0.1162336141418009
IA,0.1504578523380332
ID,0.1325518948589826
IL,0.1333513942134756
IN,0.1260054292183023
KS,0.1355569202388273
KY,0.1425939347988928
LA,0.1012559559166249
MA,0.1085406029160465
MD,0.1617137115349926
ME,0.123472780039771
MI,0.1040156155492835
MN,0.1530725059527835
MO,0.1785420293502651
MS,0.1199407775432618
MT,0.1665212222611028
NC,0.1388139005297759
ND,0.1711129988571437
NE,0.1180296199872799
NH,0.1129752430101551
NJ,0.1763259181949314
NM,0.1674159009063002
NV,0.1621693829873144
NY,0.133444213875575
OH,0.1704605322082605
OK,0.1217072454164774
OR,0.2077560393457389
PA,0.1334416789481039
RI,0.1426797070357557
SC,0.1332968520633862
SD,0.1206416044652425
TN,0.143253335235274
TX,0.1290680478371741
UT,0.1464636997004963
VA,0.1152717940372446
VT,0.115816776784736
WA,0.1393459805997006
WI,0.1267911687130617
WV,0.0578323861088636
WY,0.1051491566571655
