state,rf_ap_score
AK,0.0866882513359429
AL,0.1066177030650504
AR,0.1283127936324205
AZ,0.1420985102740195
CA,0.0977478077143491
CO,0.156047868474002
CT,0.101916691551535
DE,0.1035039641307373
FL,0.0991722600286243
GA,0.1405688580680588
HI,0.1090755572214186
IA,0.1705204691271531
ID,0.1594924358585859
IL,0.1363072437117178
IN,0.1141271224480179
KS,0.1455823968047152
KY,0.154299139050927
LA,0.1005705795668295
MA,0.1103200852878363
MD,0.1587641213861417
ME,0.1201911066555696
MI,0.1055941691118501
MN,0.1624748331105343
MO,0.1881331575775781
MS,0.1164104445622151
MT,0.1680737535471512
NC,0.1546839406485594
ND,0.1651184182845042
NE,0.1220434899943128
NH,0.1272650154167615
NJ,0.1775885202618786
NM,0.1688040322820959
NV,0.1558447884158154
NY,0.1365710227641523
OH,0.181147252936261
OK,0.1296395547413817
OR,0.2044375977442728
PA,0.1505448184593271
RI,0.1311497774059914
SC,0.1326784958316933
SD,0.1402361260389906
TN,0.1635573792077178
TX,0.1465487554868526
UT,0.1522224146674822
VA,0.1204341443250855
VT,0.1205438107168298
WA,0.1413293682441451
WI,0.1352890826647769
WV,0.0567572617449835
WY,0.1242131110857066
