year,original_f1,original_balanced_acc,original_ap_score,logit_f1,logit_balanced_acc,logit_ap_score,rf_f1,rf_balanced_acc,rf_ap_score,xgb_f1,xgb_balanced_acc,xgb_ap_score
85,0.0,0.5,0.25,0.0,0.46,0.2,1.0,1.0,1.0,0.0,0.5,0.038461538461538464
86,0.0,0.5,0.3376330532212885,0.0,0.47368421052631576,0.27751248751248747,0.0,0.5,0.3437698412698412,0.0,0.5,0.20833333333333334
