year,logit_f1,logit_balanced_acc,logit_ap_score,rf_f1,rf_balanced_acc,rf_ap_score,xgb_f1,xgb_balanced_acc,xgb_ap_score
76,0.0,0.9117647058823529,0.0,0.0,0.8823529411764706,0.0,0.0,1.0,0.0
77,0.0,0.9411764705882353,0.0,0.0,0.9117647058823529,0.0,0.0,1.0,0.0
78,0.0,0.48484848484848486,0.3333333333333333,0.4,0.9545454545454546,0.5,0.0,0.5,0.029411764705882353
79,0.0,0.9696969696969697,0.0,0.0,0.9090909090909091,0.0,0.0,1.0,0.0
80,0.0,0.9696969696969697,0.0,0.0,0.9090909090909091,0.0,0.0,1.0,0.0
81,0.0,0.484375,0.06666666666666667,0.0,0.453125,0.047619047619047616,0.0,0.5,0.030303030303030304
82,0.0,0.5,0.625,0.5,0.7333333333333334,0.8333333333333333,0.0,0.5,0.15384615384615385
83,0.0,0.5,0.16666666666666666,0.0,0.4482758620689655,0.07142857142857142,0.0,0.5,0.2
84,0.0,0.5,0.43333333333333335,0.3333333333333333,0.605,0.49429824561403507,0.0,0.5,0.5583333333333333
85,0.0,0.5,0.25,0.5,0.96,1.0,0.0,0.5,0.5
86,0.0,0.47368421052631576,0.3327272727272727,0.5,0.6947368421052631,0.49126984126984125,0.0,0.5,0.35376984126984123
